batch,channel,real,imag
7,10,-0.00671387,0.0012207
7,11,0.00244141,-0.00146484
7,12,-0.00195312,-0.00183105
7,13,0.00195312,0.0012207
7,14,0.00317383,0.000488281
7,15,-0.000488281,0.000244141
7,16,0.000732422,-0.00512695
7,17,-0.000976562,0.00390625
7,18,0.00476074,0.00524902
7,19,-0.00354004,0.000976562
7,20,0.000732422,-0.00305176
7,21,0.00219727,-0.00439453
7,22,0.00402832,-0.00427246
7,23,0.00280762,0.000366211
7,24,0.00305176,0.0020752
7,25,0.00146484,-0.000244141
7,26,0.000366211,0.00170898
7,27,-0.0012207,-0.000854492
7,28,-0.00549316,0.000610352
7,29,-0.00366211,-0.00134277
7,30,0.00317383,0.0012207
7,31,0.00134277,0.00244141
7,32,0.00012207,-0.00354004
7,33,0.00134277,-0.00134277
7,34,-0.00146484,-0.0032959
7,35,-0.00158691,-0.00244141
7,36,0.00183105,-0.0020752
7,37,0.00244141,-0.00244141
7,38,-0.00305176,-0.000854492
7,39,0.0020752,0.000366211
7,40,-0.00476074,0.00292969
7,41,-0.000732422,-0.000488281
7,42,-0.00134277,-0.00195312
7,43,0.000854492,-0.000976562
7,44,-0.00439453,0.0090332
7,45,0.00134277,-0.00158691
7,46,0.00341797,-0.000244141
7,47,-0.00012207,0
8,0,-0.000366211,-0.00366211
