pixel,elem,real,imag
6,28,0.0607917109,-0.0165722450
6,29,0.0555701180,-0.0297013083
6,30,0.0312091793,-0.0547391147
6,31,-0.0027419967,-0.0629528042
6,32,-0.0617210138,0.0126821822
6,33,-0.0172038220,0.0606161351
6,34,0.0458553149,0.0432153380
6,35,0.0598283547,0.0197691817
6,36,0.0626900118,0.0063416246
6,37,0.0594907257,-0.0207639750
6,38,0.0090063968,-0.0623638289
6,39,-0.0511844973,-0.0367465915
6,40,-0.0614711442,-0.0138433715
6,41,-0.0344616374,-0.0527527911
6,42,0.0120226196,-0.0618511571
6,43,0.0302227360,-0.0552869309
6,44,0.0383527150,-0.0499912506
6,45,0.0517137344,-0.0359978041
6,46,0.0621800867,0.0101982765
6,47,0.0375077633,0.0506311079
7,0,-0.0487124362,-0.0399750577
7,1,-0.0599977465,-0.0192587595
7,2,-0.0628731752,0.0041560585
7,3,-0.0615367577,0.0135442807
7,4,-0.0603416027,0.0181393612
7,5,-0.0569373256,0.0269891381
7,6,-0.0430185724,0.0460354626
7,7,-0.0230706726,0.0586313730
7,8,0.0331193971,0.0536075099
7,9,0.0501105155,0.0382028975
7,10,0.0604633894,0.0177378651
7,11,0.0624046263,0.0087264242
7,12,0.0628758536,0.0041394762
7,13,0.0628064694,-0.0050771874
7,14,0.0568292897,-0.0272194157
7,15,0.0433233156,-0.0457549122
7,16,-0.0600227026,0.0191846833
7,17,-0.0055120237,0.0627704827
7,18,0.0557589678,0.0293551541
7,19,0.0630052752,0.0009494012
7,20,0.0614983153,-0.0137320196
7,21,0.0486282267,-0.0400707571
7,22,-0.0181546083,-0.0603355791
7,23,-0.0626642561,-0.0065823969
7,24,-0.0588352280,0.0225572351
7,25,-0.0572464521,-0.0263285498
7,26,-0.0211608733,-0.0593500981
7,27,-0.0014865330,-0.0629922938
7,28,0.0085336216,-0.0624291893
7,29,0.0276777091,-0.0566061808
7,30,0.0598371781,-0.0197517405
7,31,0.0559396025,0.0290068465
7,32,-0.0613588865,-0.0143451867
7,33,-0.0548999295,0.0309252648
7,34,-0.0195318364,0.0599067522
7,35,-0.0011410718,0.0630002596
7,36,0.0081946240,0.0624755030
7,37,0.0261223816,0.0573415283
7,38,0.0580197425,0.0245782064
7,39,0.0593626935,-0.0211286549
7,40,-0.0148822209,-0.0612307615
7,41,-0.0391122526,-0.0494049295
7,42,-0.0561806109,-0.0285337833
7,43,-0.0602432811,-0.0184681969
7,44,-0.0616100552,-0.0132099735
7,45,-0.0629634338,-0.0024393751
7,46,-0.0582190868,0.0241008787
7,47,-0.0428181634,0.0462263264
8,0,-0.0587731595,0.0227191382
8,1,0.0010305718,0.0630036244
8,2,0.0594831393,0.0207828728
8,3,0.0622896575,-0.0094910798
8,4,0.0581620507,-0.0242416580
8,5,0.0400399731,-0.0486535738
8,6,-0.0318405661,-0.0543739524
8,7,-0.0620240074,0.0111104307
8,8,-0.0455535250,0.0435347498
8,9,-0.0630068153,0.0008084815
8,10,-0.0466559963,-0.0423516208
8,11,-0.0320578777,-0.0542465868
8,12,-0.0235921519,-0.0584273601
8,13,-0.0052735535,-0.0627895084
8,14,0.0389377362,-0.0495402802
8,15,0.0622585573,-0.0097126826
8,16,-0.0580680410,-0.0244617880
8,17,-0.0616826494,0.0128630757
8,18,-0.0434498670,0.0456314224
8,19,-0.0312640648,0.0547054597
8,20,-0.0244403933,0.0580755013
8,21,-0.0098284157,0.0622377508
8,22,0.0272743327,0.0567993921
8,23,0.0547170106,0.0312443219
8,24,0.0338279704,-0.0531609286
8,25,-0.0029794045,-0.0629419445
8,26,-0.0386984471,-0.0497277338
8,27,-0.0496282454,-0.0388253777
8,28,-0.0540100739,-0.0324534611
8,29,-0.0602802461,-0.0183463741
8,30,-0.0598408036,0.0197371426
8,31,-0.0375381970,0.0506089436
8,32,-0.0530969495,-0.0339250910
8,33,-0.0626939224,-0.0062989629
8,34,-0.0587840424,0.0226843007
8,35,-0.0535300213,0.0332371480
8,36,-0.0501862010,0.0380991258
8,37,-0.0422115725,0.0467806669
8,38,-0.0165460934,0.0607998022
8,39,0.0126835257,0.0617211755
8,40,0.0515455159,0.0362390595
8,41,0.0559795216,0.0289227077
8,42,0.0593820562,0.0210725167
8,43,0.0604393563,0.0178156592
8,44,0.0609010020,0.0161663565
8,45,0.0616896563,0.0128340909
8,46,0.0628596322,0.0043585212
8,47,0.0628706094,-0.0041972760
9,0,-0.0537270731,-0.0329177355
9,1,-0.0628577608,-0.0043629706
9,2,-0.0577591051,0.0251793760
9,3,-0.0518874366,0.0357462877
9,4,-0.0482235664,0.0405582858
